 Check the initial condition
     # t        Re[psi(1)]        Im[psi(1)]      ||psi||Re[phi(2)]        Im[phi(2)]        ||phi||
-1102.3132     0.1000000000E+01    0.0000000000E+00    0.1000000000E+01    0.0000000000E+00    0.2367367120E-03    0.1403868665E+01
 Saving the dynamic parameters
 Saving the initial conditions
 Starting propagation
 nt =       20000
           1        2000  -1101.2108985741061        1.0000000000000022        3.1843594565628921        1.0000000000000022        1.7998632407842220E-028  -2.2204460492503131E-015   (1.11802722862920277E-015,1.33244517671522030E-017) (-1.87094116808999038E-016,-4.40516582054431423E-016)             (-0.49999999999995459,0.0000000000000000)
           2        2000  -1100.1085853623199        1.0000000000000027        6.8057583255915608        1.0000000000000027        3.7357152501280963E-028  -2.6645352591003757E-015  (1.20642766242386801E-015,-2.27401021353415470E-018) (-3.43789732422725316E-016,-6.37187902133657718E-016)             (-0.49999999999995481,0.0000000000000000)
           3        2000  -1099.0062721505337        1.0000000000000022        12.777932212909018        1.0000000000000027        5.1101511562229866E-028  -2.2204460492503131E-015  (6.94854167488447802E-016,-1.69135408499705509E-018)  (3.56041928484301797E-016,-9.53765315313896969E-017)             (-0.49999999999995481,0.0000000000000000)
           4        2000  -1097.9039589387476        1.0000000000000038        21.006696368708411        1.0000000000000040        6.0319765037670457E-028  -3.7747582837255322E-015  (8.69107685532967107E-016,-6.19248919099504878E-018) (-6.95298497519458292E-016,-4.27093348662383135E-016)             (-0.49999999999995548,0.0000000000000000)
           5        2000  -1096.8016457269614        1.0000000000000040        31.362278266627666        1.0000000000000044        5.9327936179947300E-028  -3.9968028886505635E-015   (7.39423599920817924E-016,1.30479279169680956E-017) (-6.62826843508119115E-016,-3.56729181054056743E-016)             (-0.49999999999995570,0.0000000000000000)
           6        2000  -1095.6993325151752        1.0000000000000029        43.681364194011884        1.0000000000000031        4.9514620917144887E-028  -2.8865798640254070E-015  (2.20066871528060715E-016,-2.51584863866114888E-018)  (2.92782834028475077E-016,-5.46275142854500937E-016)             (-0.49999999999995504,0.0000000000000000)
           7        2000  -1094.5970193033891        1.0000000000000038        57.769674806720033        1.0000000000000036        4.0087045947101282E-028  -3.7747582837255322E-015   (7.70730802374844906E-016,4.17938958302752958E-020) (-3.11184046911268788E-016,-3.87723627812673554E-016)             (-0.49999999999995526,0.0000000000000000)
           8        2000  -1093.4947060916029        1.0000000000000038        73.405029030440630        1.0000000000000040        3.1932245648692852E-028  -3.7747582837255322E-015  (1.01268704796322823E-015,-1.72291699824998804E-018) (-3.39148816083840270E-016,-3.63000423644056034E-016)             (-0.49999999999995548,0.0000000000000000)
           9        2000  -1092.3923928798167        1.0000000000000027        90.340847988958913        1.0000000000000031        2.6243745774333647E-028  -2.6645352591003757E-015   (9.98513180532215608E-016,7.80469595715055338E-018)  (4.07249889711901582E-018,-4.44675498192610292E-016)             (-0.49999999999995504,0.0000000000000000)
          10        2000  -1091.2900796680306        1.0000000000000002        108.31004370032966        1.0000000000000004        2.3818325459160037E-028  -2.2204460492503131E-016  (5.51983334585768586E-016,-8.03593696193969326E-018) (-1.65540116142808375E-016,-4.21629152391649772E-016)             (-0.49999999999995370,0.0000000000000000)
          11        2000  -1090.1877664562444        1.0000000000000000        127.02923121390747        1.0000000000000000        2.6131453922305913E-028   0.0000000000000000        (9.63254457344502903E-016,2.54518946479836542E-018)  (2.68475072120823678E-016,-8.81837743579125662E-017)             (-0.49999999999995348,0.0000000000000000)
          12        2000  -1089.0854532444582        1.0000000000000002        146.20319776030320        1.0000000000000004        2.9870109684602125E-028  -2.2204460492503131E-016   (1.04494208302511709E-015,2.98519629184673382E-019) (-6.98271185260725716E-016,-3.10165234903053076E-016)             (-0.49999999999995370,0.0000000000000000)
          13        2000  -1087.9831400326721        1.0000000000000013        165.52955843310849        1.0000000000000013        3.6889027046581245E-028  -1.3322676295501878E-015  (1.01052732166504769E-015,-5.81047205200985737E-018) (-2.99956575983632558E-016,-4.34796867762244538E-016)             (-0.49999999999995415,0.0000000000000000)
          14        2000  -1086.8808268208859        1.0000000000000009        184.70352497950353        1.0000000000000009        4.4165130633782607E-028  -8.8817841970012523E-016   (5.59942375350451112E-016,2.29550248692264156E-018) (-5.89656105798309400E-016,-3.53012828597033436E-016)             (-0.49999999999995393,0.0000000000000000)
          15        2000  -1085.7785136090997        1.0000000000000031        203.42271249308016        1.0000000000000031        4.8953066104954856E-028  -3.1086244689504383E-015   (8.37860519179530401E-016,3.13325101926231329E-018) (-1.06905951461063655E-015,-5.69354331690776210E-016)             (-0.49999999999995504,0.0000000000000000)
          16        2000  -1084.6762003973136        1.0000000000000027        221.39190820444642        1.0000000000000027        4.9813392837442591E-028  -2.6645352591003757E-015   (7.86126655758186667E-016,5.22948997606821969E-018) (-5.97670547360240774E-016,-4.88525852427823891E-016)             (-0.49999999999995481,0.0000000000000000)
          17        2000  -1083.5738871855274        1.0000000000000002        238.32772716295747        1.0000000000000004        4.9667535143476287E-028  -2.2204460492503131E-016   (5.68019272423585155E-016,4.48150220544525322E-019) (-9.94832160236088163E-016,-4.25157445178103253E-016)             (-0.49999999999995370,0.0000000000000000)
          18        2000  -1082.4715739737412        1.0000000000000002        253.96308138667084        1.0000000000000004        4.3603271105003677E-028  -2.2204460492503131E-016   (1.01923490314456573E-015,3.35820826056702890E-018) (-2.79135325713921821E-016,-1.04568181350058388E-016)             (-0.49999999999995370,0.0000000000000000)
          19        2000  -1081.3692607619550       0.99999999999999822        268.05139199936866       0.99999999999999867        3.5701027281205234E-028   1.7763568394002505E-015  (8.21971625625106325E-016,-2.23186247394864770E-018) (-2.84918467849098051E-016,-3.71983340515303391E-016)             (-0.49999999999995282,0.0000000000000000)
          20        2000  -1080.2669475501689       0.99999999999999789        280.37047792673911       0.99999999999999845        3.0604810843520198E-028   2.1094237467877974E-015  (8.21540997175533968E-016,-2.59334047407930145E-019)  (1.28315418518967272E-015,-1.68235013050441437E-016)             (-0.49999999999995270,0.0000000000000000)
          21        2000  -1079.1646343383827       0.99999999999999734        290.72605982464353       0.99999999999999756        2.6112055301695553E-028   2.6645352591003757E-015  (1.36815450417931796E-015,-3.05937268328313153E-018) (-9.07756992652470180E-016,-4.28946186786500303E-016)             (-0.49999999999995226,0.0000000000000000)
          22        2000  -1078.0623211265965        1.0000000000000000        298.95482398042600       0.99999999999999956        2.7619298303655286E-028   0.0000000000000000       (9.60113819439186593E-016,-5.72930463157121391E-018) (-6.88619681650650023E-016,-3.43854851625930403E-016)             (-0.49999999999995326,0.0000000000000000)
          23        2000  -1076.9600079148104        1.0000000000000018        304.92699786772954        1.0000000000000018        3.0553660968504189E-028  -1.7763568394002505E-015   (7.54167964688969852E-016,7.14770687725389658E-019) (-3.72953489270663323E-016,-2.27022651326601308E-016)             (-0.49999999999995437,0.0000000000000000)
          24        2000  -1075.8576947030242        1.0000000000000022        308.54839673674286        1.0000000000000027        3.5389229854866474E-028  -2.2204460492503131E-015  (4.04769585639283800E-016,-2.85892895230787704E-018) (-7.07609902651878692E-016,-4.02725646451940931E-016)             (-0.49999999999995481,0.0000000000000000)
          25        2000  -1074.7553814912380        1.0000000000000007        309.76190896398299        1.0000000000000009        4.2006125872883415E-028  -6.6613381477509392E-016   (5.54791030547208158E-016,6.76543726273361646E-018) (-4.77044934958848337E-016,-4.69177925414063960E-016)             (-0.49999999999995393,0.0000000000000000)
          26        2000  -1073.6530682794519       0.99999999999999867        308.54839673671796       0.99999999999999889        4.7356026472414305E-028   1.3322676295501878E-015  (8.52528097817421869E-016,-3.72022946477809927E-018)  (6.71297828242375382E-016,-3.88367327141853773E-016)             (-0.49999999999995293,0.0000000000000000)
          27        2000  -1072.5507550676657       0.99999999999999700        304.92699786767048       0.99999999999999711        4.8107458346287898E-028   2.9976021664879227E-015   (9.90493016442886645E-016,1.05575990396736227E-017) (-1.20319422468317055E-018,-5.09621987471507747E-016)             (-0.49999999999995204,0.0000000000000000)
          28        2000  -1071.4484418558795       0.99999999999999722        298.95482398033494       0.99999999999999734        4.5680877265765918E-028   2.7755575615628914E-015  (1.28127760872283796E-015,-4.83394766645149071E-018) (-5.29650207771181389E-016,-3.21815546831957367E-016)             (-0.49999999999995215,0.0000000000000000)
          29        2000  -1070.3461286440934       0.99999999999999889        290.72605982451978       0.99999999999999911        4.3207915504743443E-028   1.1102230246251565E-015   (8.47325395994921181E-016,2.87727144029751577E-018)  (1.06293440733095533E-016,-2.55770925505434621E-018)             (-0.49999999999995304,0.0000000000000000)
          30        2000  -1069.2438154323072        1.0000000000000016        280.37047792658797        1.0000000000000022        4.0350859399213817E-028  -1.5543122344752192E-015   (1.36932009234617737E-015,3.43166353460199781E-018) (-4.47177683422840572E-016,-3.95867254046760315E-016)             (-0.49999999999995459,0.0000000000000000)
          31        2000  -1068.1415022205210        1.0000000000000009        268.05139199919279        1.0000000000000013        3.4229840060234034E-028  -8.8817841970012523E-016  (7.99684920708686320E-016,-5.85669898092974629E-018) (-1.94499903275356911E-016,-4.32969992777861994E-017)             (-0.49999999999995415,0.0000000000000000)
          32        2000  -1067.0391890087349        1.0000000000000020        253.96308138647504        1.0000000000000022        3.1667613808067008E-028  -1.9984014443252818E-015   (5.24399502219308393E-016,2.97652348634904322E-018) (-1.08451791257380553E-015,-5.33970256235757738E-016)             (-0.49999999999995459,0.0000000000000000)
          33        2000  -1065.9368757969487        1.0000000000000033        238.32772716274590        1.0000000000000036        2.9689428044676994E-028  -3.3306690738754696E-015   (2.21854959667002056E-016,3.69336636297738803E-020)  (8.79947258317254998E-018,-3.67279297372919244E-016)             (-0.49999999999995526,0.0000000000000000)
          34        2000  -1064.8345625851625        1.0000000000000024        221.39190820421902        1.0000000000000031        2.9779761134057417E-028  -2.4424906541753444E-015  (2.49735056510541399E-017,-3.23384638593811726E-018)  (4.75973810350862935E-017,-2.09728000223764757E-016)             (-0.49999999999995504,0.0000000000000000)
          35        2000  -1063.7322493733764        1.0000000000000031        203.42271249284227        1.0000000000000036        3.2446089138988716E-028  -3.1086244689504383E-015  (9.14808478503788275E-016,-1.87063941090686775E-018) (-1.96841579947778218E-016,-5.04832840700216154E-016)             (-0.49999999999995526,0.0000000000000000)
          36        2000  -1062.6299361615902        1.0000000000000042        184.70352497925899        1.0000000000000044        3.8698645549575859E-028  -4.2188474935755949E-015   (1.50554396141011301E-015,2.61757072202882239E-019) (-3.04331073172716827E-016,-3.85338847247217043E-016)             (-0.49999999999995570,0.0000000000000000)
          37        2000  -1061.5276229498040        1.0000000000000042        165.52955843286085        1.0000000000000044        4.2478982427782002E-028  -4.2188474935755949E-015   (7.27684770987917779E-016,3.63891084813818583E-019) (-6.43065448537803167E-016,-3.84573566958257912E-016)             (-0.49999999999995570,0.0000000000000000)
          38        2000  -1060.4253097380179        1.0000000000000040        146.20319776005579        1.0000000000000044        4.6407077205341259E-028  -3.9968028886505635E-015   (8.06686855361356151E-016,6.43039200102671493E-018) (-7.01207401714934880E-016,-4.20162751127565835E-016)             (-0.49999999999995570,0.0000000000000000)
          39        2000  -1059.3229965262317        1.0000000000000042        127.02923121366325        1.0000000000000040        4.7618801432326098E-028  -4.2188474935755949E-015   (8.80559494865548566E-016,5.62784743308504063E-019) (-2.54753948819797848E-016,-3.48541008421355227E-016)             (-0.49999999999995548,0.0000000000000000)
          40        2000  -1058.2206833144455        1.0000000000000027        108.31004370009408        1.0000000000000031        4.6623841139623872E-028  -2.6645352591003757E-015  (6.17118897901449203E-016,-1.37961152795373427E-018)  (4.08036085858256885E-016,-3.62938286394646965E-016)             (-0.49999999999995504,0.0000000000000000)
          41        2000  -1057.1183701026594        1.0000000000000022        90.340847988734708        1.0000000000000022        4.1071608524463338E-028  -2.2204460492503131E-015   (1.47060395884673244E-015,7.57497681045726009E-018) (-7.08656265838171559E-016,-2.95210724040422284E-016)             (-0.49999999999995459,0.0000000000000000)
          42        2000  -1056.0160568908732        1.0000000000000027        73.405029030230963        1.0000000000000027        3.6668876635489643E-028  -2.6645352591003757E-015   (8.45010781581049873E-016,8.15769244189658786E-018) (-5.24435756898875736E-016,-2.69547416799731905E-016)             (-0.49999999999995481,0.0000000000000000)
          43        2000  -1054.9137436790870        1.0000000000000064        57.769674806528222        1.0000000000000062        3.2269171354671205E-028  -6.4392935428259079E-015   (5.66192032129656888E-016,2.51727108601611004E-018)  (4.51793927261251234E-018,-2.70489288554067770E-016)             (-0.49999999999995659,0.0000000000000000)
