   -0.5000000000E+03    0.5159880002E-07
   -0.4998897687E+03    0.5221122679E-07
   -0.4997795374E+03    0.5282067545E-07
   -0.4996693060E+03    0.5342699220E-07
   -0.4995590747E+03    0.5403002210E-07
   -0.4994488434E+03    0.5462960907E-07
   -0.4993386121E+03    0.5522559592E-07
   -0.4992283808E+03    0.5581782434E-07
   -0.4991181494E+03    0.5640613496E-07
   -0.4990079181E+03    0.5699036733E-07
   -0.4988976868E+03    0.5757035999E-07
   -0.4987874555E+03    0.5814595042E-07
   -0.4986772241E+03    0.5871697513E-07
   -0.4985669928E+03    0.5928326963E-07
   -0.4984567615E+03    0.5984466848E-07
   -0.4983465302E+03    0.6040100531E-07
   -0.4982362989E+03    0.6095211282E-07
   -0.4981260675E+03    0.6149782284E-07
   -0.4980158362E+03    0.6203796633E-07
   -0.4979056049E+03    0.6257237338E-07
   -0.4977953736E+03    0.6310087329E-07
   -0.4976851423E+03    0.6362329455E-07
   -0.4975749109E+03    0.6413946489E-07
   -0.4974646796E+03    0.6464921128E-07
   -0.4973544483E+03    0.6515236000E-07
   -0.4972442170E+03    0.6564873659E-07
   -0.4971339856E+03    0.6613816598E-07
   -0.4970237543E+03    0.6662047243E-07
   -0.4969135230E+03    0.6709547959E-07
   -0.4968032917E+03    0.6756301052E-07
   -0.4966930604E+03    0.6802288776E-07
   -0.4965828290E+03    0.6847493330E-07
   -0.4964725977E+03    0.6891896863E-07
   -0.4963623664E+03    0.6935481478E-07
   -0.4962521351E+03    0.6978229235E-07
   -0.4961419038E+03    0.7020122154E-07
   -0.4960316724E+03    0.7061142216E-07
   -0.4959214411E+03    0.7101271369E-07
   -0.4958112098E+03    0.7140491528E-07
   -0.4957009785E+03    0.7178784584E-07
   -0.4955907472E+03    0.7216132401E-07
   -0.4954805158E+03    0.7252516820E-07
   -0.4953702845E+03    0.7287919668E-07
   -0.4952600532E+03    0.7322322756E-07
   -0.4951498219E+03    0.7355707884E-07
   -0.4950395905E+03    0.7388056843E-07
   -0.4949293592E+03    0.7419351422E-07
   -0.4948191279E+03    0.7449573410E-07
   -0.4947088966E+03    0.7478704598E-07
   -0.4945986653E+03    0.7506726784E-07
   -0.4944884339E+03    0.7533621777E-07
   -0.4943782026E+03    0.7559371400E-07
   -0.4942679713E+03    0.7583957494E-07
   -0.4941577400E+03    0.7607361922E-07
   -0.4940475087E+03    0.7629566573E-07
   -0.4939372773E+03    0.7650553365E-07
   -0.4938270460E+03    0.7670304250E-07
   -0.4937168147E+03    0.7688801218E-07
   -0.4936065834E+03    0.7706026299E-07
   -0.4934963521E+03    0.7721961570E-07
   -0.4933861207E+03    0.7736589157E-07
   -0.4932758894E+03    0.7749891239E-07
   -0.4931656581E+03    0.7761850055E-07
   -0.4930554268E+03    0.7772447902E-07
   -0.4929451954E+03    0.7781667147E-07
   -0.4928349641E+03    0.7789490227E-07
   -0.4927247328E+03    0.7795899651E-07
   -0.4926145015E+03    0.7800878010E-07
   -0.4925042702E+03    0.7804407978E-07
   -0.4923940388E+03    0.7806472314E-07
   -0.4922838075E+03    0.7807053873E-07
   -0.4921735762E+03    0.7806135604E-07
   -0.4920633449E+03    0.7803700557E-07
   -0.4919531136E+03    0.7799731890E-07
   -0.4918428822E+03    0.7794212869E-07
   -0.4917326509E+03    0.7787126875E-07
   -0.4916224196E+03    0.7778457408E-07
   -0.4915121883E+03    0.7768188092E-07
   -0.4914019569E+03    0.7756302681E-07
   -0.4912917256E+03    0.7742785059E-07
   -0.4911814943E+03    0.7727619251E-07
   -0.4910712630E+03    0.7710789422E-07
   -0.4909610317E+03    0.7692279887E-07
   -0.4908508003E+03    0.7672075110E-07
   -0.4907405690E+03    0.7650159713E-07
   -0.4906303377E+03    0.7626518481E-07
   -0.4905201064E+03    0.7601136364E-07
   -0.4904098751E+03    0.7573998484E-07
   -0.4902996437E+03    0.7545090138E-07
   -0.4901894124E+03    0.7514396806E-07
   -0.4900791811E+03    0.7481904151E-07
   -0.4899689498E+03    0.7447598031E-07
   -0.4898587185E+03    0.7411464496E-07
   -0.4897484871E+03    0.7373489799E-07
   -0.4896382558E+03    0.7333660398E-07
   -0.4895280245E+03    0.7291962961E-07
   -0.4894177932E+03    0.7248384375E-07
   -0.4893075618E+03    0.7202911743E-07
   -0.4891973305E+03    0.7155532397E-07
   -0.4890870992E+03    0.7106233899E-07
   -0.4889768679E+03    0.7055004047E-07
   -0.4888666366E+03    0.7001830879E-07
   -0.4887564052E+03    0.6946702681E-07
   -0.4886461739E+03    0.6889607988E-07
   -0.4885359426E+03    0.6830535592E-07
   -0.4884257113E+03    0.6769474546E-07
   -0.4883154800E+03    0.6706414169E-07
   -0.4882052486E+03    0.6641344053E-07
   -0.4880950173E+03    0.6574254065E-07
   -0.4879847860E+03    0.6505134353E-07
   -0.4878745547E+03    0.6433975353E-07
   -0.4877643233E+03    0.6360767792E-07
   -0.4876540920E+03    0.6285502694E-07
   -0.4875438607E+03    0.6208171386E-07
   -0.4874336294E+03    0.6128765501E-07
   -0.4873233981E+03    0.6047276983E-07
   -0.4872131667E+03    0.5963698095E-07
   -0.4871029354E+03    0.5878021421E-07
   -0.4869927041E+03    0.5790239874E-07
   -0.4868824728E+03    0.5700346697E-07
   -0.4867722415E+03    0.5608335473E-07
   -0.4866620101E+03    0.5514200125E-07
   -0.4865517788E+03    0.5417934925E-07
   -0.4864415475E+03    0.5319534497E-07
   -0.4863313162E+03    0.5218993822E-07
   -0.4862210849E+03    0.5116308244E-07
   -0.4861108535E+03    0.5011473475E-07
   -0.4860006222E+03    0.4904485597E-07
   -0.4858903909E+03    0.4795341071E-07
   -0.4857801596E+03    0.4684036740E-07
   -0.4856699282E+03    0.4570569834E-07
   -0.4855596969E+03    0.4454937974E-07
   -0.4854494656E+03    0.4337139179E-07
   -0.4853392343E+03    0.4217171868E-07
   -0.4852290030E+03    0.4095034867E-07
   -0.4851187716E+03    0.3970727414E-07
   -0.4850085403E+03    0.3844249160E-07
   -0.4848983090E+03    0.3715600180E-07
   -0.4847880777E+03    0.3584780971E-07
   -0.4846778464E+03    0.3451792460E-07
   -0.4845676150E+03    0.3316636010E-07
   -0.4844573837E+03    0.3179313422E-07
   -0.4843471524E+03    0.3039826939E-07
